line_id,request_id,item_id,quantity,notes
LIN-00001,REQ-00001,ITM-0019,3,Per client request
LIN-00002,REQ-00001,ITM-0106,5,Per client request
LIN-00003,REQ-00002,ITM-0002,3,
LIN-00004,REQ-00003,ITM-0039,5,Substitute if unavailable
LIN-00005,REQ-00003,ITM-0083,2,Extra portion
LIN-00006,REQ-00004,ITM-0049,5,Per client request
LIN-00007,REQ-00004,ITM-0131,3,Per client request
LIN-00008,REQ-00004,ITM-0141,5,Extra portion
LIN-00009,REQ-00005,ITM-0097,1,Substitute if unavailable
LIN-00010,REQ-00005,ITM-0081,5,Substitute if unavailable
LIN-00011,REQ-00005,ITM-0065,5,Per client request
LIN-00012,REQ-00005,ITM-0130,3,
LIN-00013,REQ-00006,ITM-0020,1,Per client request
LIN-00014,REQ-00006,ITM-0020,4,Frozen preferred
LIN-00015,REQ-00006,ITM-0047,2,Frozen preferred
LIN-00016,REQ-00006,ITM-0046,1,
LIN-00017,REQ-00007,ITM-0060,2,Frozen preferred
LIN-00018,REQ-00007,ITM-0101,1,Extra portion
LIN-00019,REQ-00008,ITM-0124,1,Substitute if unavailable
LIN-00020,REQ-00009,ITM-0023,3,Substitute if unavailable
LIN-00021,REQ-00009,ITM-0106,1,
LIN-00022,REQ-00010,ITM-0003,4,Frozen preferred
LIN-00023,REQ-00010,ITM-0101,4,Per client request
LIN-00024,REQ-00010,ITM-0068,1,Extra portion
LIN-00025,REQ-00011,ITM-0058,5,Substitute if unavailable
LIN-00026,REQ-00012,ITM-0035,5,
LIN-00027,REQ-00012,ITM-0080,5,
LIN-00028,REQ-00012,ITM-0094,5,Per client request
LIN-00029,REQ-00013,ITM-0065,3,
LIN-00030,REQ-00013,ITM-0142,1,
LIN-00031,REQ-00013,ITM-0124,1,
LIN-00032,REQ-00014,ITM-0106,1,
LIN-00033,REQ-00014,ITM-0060,3,
LIN-00034,REQ-00014,ITM-0073,4,
LIN-00035,REQ-00015,ITM-0115,4,Per client request
LIN-00036,REQ-00016,ITM-0001,2,Frozen preferred
LIN-00037,REQ-00016,ITM-0002,5,Extra portion
LIN-00038,REQ-00016,ITM-0062,2,
LIN-00039,REQ-00017,ITM-0115,4,Frozen preferred
LIN-00040,REQ-00017,ITM-0033,1,
LIN-00041,REQ-00017,ITM-0041,4,
LIN-00042,REQ-00017,ITM-0107,5,Per client request
LIN-00043,REQ-00018,ITM-0024,5,
LIN-00044,REQ-00019,ITM-0147,5,Per client request
LIN-00045,REQ-00019,ITM-0126,4,Frozen preferred
LIN-00046,REQ-00020,ITM-0136,4,Substitute if unavailable
LIN-00047,REQ-00020,ITM-0104,2,Per client request
LIN-00048,REQ-00021,ITM-0038,3,
LIN-00049,REQ-00021,ITM-0103,2,
LIN-00050,REQ-00021,ITM-0101,1,Extra portion
LIN-00051,REQ-00021,ITM-0098,3,
LIN-00052,REQ-00022,ITM-0042,3,
LIN-00053,REQ-00022,ITM-0031,1,
LIN-00054,REQ-00023,ITM-0042,3,Frozen preferred
LIN-00055,REQ-00023,ITM-0027,1,Substitute if unavailable
LIN-00056,REQ-00023,ITM-0109,3,Frozen preferred
LIN-00057,REQ-00024,ITM-0007,5,
LIN-00058,REQ-00024,ITM-0023,3,
LIN-00059,REQ-00024,ITM-0022,2,
LIN-00060,REQ-00025,ITM-0114,1,
LIN-00061,REQ-00025,ITM-0099,2,Extra portion
LIN-00062,REQ-00025,ITM-0092,3,
LIN-00063,REQ-00025,ITM-0085,2,Per client request
LIN-00064,REQ-00026,ITM-0091,3,Extra portion
LIN-00065,REQ-00026,ITM-0050,1,Substitute if unavailable
LIN-00066,REQ-00027,ITM-0029,1,Extra portion
LIN-00067,REQ-00027,ITM-0092,1,
LIN-00068,REQ-00028,ITM-0146,1,Per client request
LIN-00069,REQ-00028,ITM-0090,3,
LIN-00070,REQ-00028,ITM-0143,2,Extra portion
LIN-00071,REQ-00028,ITM-0137,3,Substitute if unavailable
LIN-00072,REQ-00029,ITM-0139,4,Extra portion
LIN-00073,REQ-00029,ITM-0125,2,
LIN-00074,REQ-00030,ITM-0065,2,Frozen preferred
LIN-00075,REQ-00030,ITM-0073,5,Per client request
LIN-00076,REQ-00030,ITM-0116,3,Substitute if unavailable
LIN-00077,REQ-00030,ITM-0104,2,Per client request
LIN-00078,REQ-00031,ITM-0057,5,Substitute if unavailable
LIN-00079,REQ-00032,ITM-0016,3,Frozen preferred
LIN-00080,REQ-00033,ITM-0094,3,Extra portion
LIN-00081,REQ-00034,ITM-0053,5,Frozen preferred
LIN-00082,REQ-00035,ITM-0089,4,Per client request
LIN-00083,REQ-00035,ITM-0105,3,Per client request
LIN-00084,REQ-00035,ITM-0043,4,
LIN-00085,REQ-00036,ITM-0114,5,Frozen preferred
LIN-00086,REQ-00036,ITM-0146,2,Substitute if unavailable
LIN-00087,REQ-00036,ITM-0122,1,Extra portion
LIN-00088,REQ-00036,ITM-0137,1,
LIN-00089,REQ-00037,ITM-0038,1,
LIN-00090,REQ-00037,ITM-0045,1,Frozen preferred
LIN-00091,REQ-00037,ITM-0102,3,Substitute if unavailable
LIN-00092,REQ-00037,ITM-0101,1,
LIN-00093,REQ-00038,ITM-0007,4,
LIN-00094,REQ-00039,ITM-0004,1,
LIN-00095,REQ-00039,ITM-0012,2,
LIN-00096,REQ-00039,ITM-0014,5,Frozen preferred
LIN-00097,REQ-00040,ITM-0001,4,Extra portion
LIN-00098,REQ-00041,ITM-0095,3,Substitute if unavailable
LIN-00099,REQ-00041,ITM-0045,1,
LIN-00100,REQ-00042,ITM-0103,2,Extra portion
LIN-00101,REQ-00042,ITM-0101,2,Extra portion
LIN-00102,REQ-00043,ITM-0049,1,
LIN-00103,REQ-00043,ITM-0069,4,Frozen preferred
LIN-00104,REQ-00044,ITM-0098,4,Per client request
LIN-00105,REQ-00045,ITM-0084,3,
LIN-00106,REQ-00045,ITM-0030,2,Extra portion
LIN-00107,REQ-00045,ITM-0042,1,
LIN-00108,REQ-00046,ITM-0105,1,
LIN-00109,REQ-00047,ITM-0091,4,Per client request
LIN-00110,REQ-00047,ITM-0031,3,Per client request
LIN-00111,REQ-00047,ITM-0091,2,Substitute if unavailable
LIN-00112,REQ-00048,ITM-0136,3,
LIN-00113,REQ-00049,ITM-0013,3,
LIN-00114,REQ-00049,ITM-0011,5,
LIN-00115,REQ-00049,ITM-0065,3,
LIN-00116,REQ-00049,ITM-0016,3,
LIN-00117,REQ-00050,ITM-0103,5,
LIN-00118,REQ-00050,ITM-0015,3,
LIN-00119,REQ-00051,ITM-0070,2,
LIN-00120,REQ-00051,ITM-0090,4,Extra portion
LIN-00121,REQ-00052,ITM-0077,1,
LIN-00122,REQ-00052,ITM-0043,1,Frozen preferred
LIN-00123,REQ-00052,ITM-0038,2,Per client request
LIN-00124,REQ-00052,ITM-0105,5,Frozen preferred
LIN-00125,REQ-00053,ITM-0106,1,Substitute if unavailable
LIN-00126,REQ-00053,ITM-0109,2,Extra portion
LIN-00127,REQ-00053,ITM-0076,3,
LIN-00128,REQ-00054,ITM-0032,1,Substitute if unavailable
LIN-00129,REQ-00054,ITM-0109,3,
LIN-00130,REQ-00055,ITM-0022,1,
LIN-00131,REQ-00055,ITM-0012,5,Extra portion
LIN-00132,REQ-00055,ITM-0015,3,Substitute if unavailable
LIN-00133,REQ-00056,ITM-0037,1,
LIN-00134,REQ-00056,ITM-0104,1,
LIN-00135,REQ-00056,ITM-0113,1,Extra portion
LIN-00136,REQ-00057,ITM-0112,3,Per client request
LIN-00137,REQ-00057,ITM-0109,5,Per client request
LIN-00138,REQ-00058,ITM-0126,4,
LIN-00139,REQ-00058,ITM-0147,1,Per client request
LIN-00140,REQ-00058,ITM-0068,2,Frozen preferred
LIN-00141,REQ-00058,ITM-0118,5,Extra portion
LIN-00142,REQ-00059,ITM-0056,3,Substitute if unavailable
LIN-00143,REQ-00059,ITM-0143,2,Frozen preferred
LIN-00144,REQ-00059,ITM-0073,1,
LIN-00145,REQ-00060,ITM-0059,3,Per client request
LIN-00146,REQ-00060,ITM-0019,1,Frozen preferred
LIN-00147,REQ-00060,ITM-0107,5,
LIN-00148,REQ-00061,ITM-0128,2,
LIN-00149,REQ-00061,ITM-0086,5,
LIN-00150,REQ-00061,ITM-0137,3,
LIN-00151,REQ-00062,ITM-0102,4,Substitute if unavailable
LIN-00152,REQ-00062,ITM-0105,1,
LIN-00153,REQ-00063,ITM-0101,2,
LIN-00154,REQ-00063,ITM-0037,2,Extra portion
LIN-00155,REQ-00063,ITM-0042,3,
LIN-00156,REQ-00064,ITM-0046,3,
LIN-00157,REQ-00064,ITM-0010,1,
LIN-00158,REQ-00064,ITM-0067,4,
LIN-00159,REQ-00065,ITM-0079,3,
LIN-00160,REQ-00066,ITM-0014,3,
LIN-00161,REQ-00066,ITM-0020,4,Substitute if unavailable
LIN-00162,REQ-00068,ITM-0048,3,
LIN-00163,REQ-00068,ITM-0004,3,
LIN-00164,REQ-00068,ITM-0020,3,Per client request
LIN-00165,REQ-00068,ITM-0015,2,Substitute if unavailable
LIN-00166,REQ-00069,ITM-0069,2,
LIN-00167,REQ-00070,ITM-0137,2,Frozen preferred
LIN-00168,REQ-00070,ITM-0092,4,Per client request
LIN-00169,REQ-00071,ITM-0140,3,
LIN-00170,REQ-00071,ITM-0130,4,
LIN-00171,REQ-00072,ITM-0131,4,Per client request
LIN-00172,REQ-00072,ITM-0102,3,
LIN-00173,REQ-00072,ITM-0102,5,
LIN-00174,REQ-00073,ITM-0110,3,Per client request
LIN-00175,REQ-00073,ITM-0103,4,Frozen preferred
LIN-00176,REQ-00073,ITM-0109,4,
LIN-00177,REQ-00074,ITM-0120,5,Frozen preferred
LIN-00178,REQ-00074,ITM-0085,1,
LIN-00179,REQ-00074,ITM-0141,4,Frozen preferred
LIN-00180,REQ-00074,ITM-0128,5,
LIN-00181,REQ-00075,ITM-0092,3,
LIN-00182,REQ-00075,ITM-0049,5,Extra portion
LIN-00183,REQ-00075,ITM-0121,2,Extra portion
LIN-00184,REQ-00075,ITM-0096,3,
LIN-00185,REQ-00076,ITM-0058,2,Frozen preferred
LIN-00186,REQ-00077,ITM-0103,3,Per client request
LIN-00187,REQ-00077,ITM-0105,2,
LIN-00188,REQ-00077,ITM-0113,5,
LIN-00189,REQ-00078,ITM-0019,5,
LIN-00190,REQ-00078,ITM-0114,5,Extra portion
LIN-00191,REQ-00078,ITM-0023,2,
LIN-00192,REQ-00078,ITM-0104,5,
LIN-00193,REQ-00079,ITM-0048,4,
