request_id,client_id,created_at,scheduled_date,time_window_start,time_window_end,service_duration_minutes,quantity_meals,quantity_boxes,cold_chain_required,priority_level,frequency,program_type,funding_stream,status,status_reason,assigned_route_id,assigned_stop_sequence,required_driver_skills,flexibility_flags,dietary_tags_snapshot,mobility_tags_snapshot
REQ-00001,CLI-0458,2026-03-24 15:32:00,2026-03-25,08:45:00,11:45:00,9,3,0,True,routine,one_time,MOW_hot,Island_Health,completed,,,,refrigerated_vehicle,,soft;vegetarian,
REQ-00002,CLI-0220,2026-03-28 14:11:00,2026-04-02,12:15:00,14:15:00,7,6,1,True,routine,weekly,MOW_hot,private_donations,completed,,RTE-0079,3,refrigerated_vehicle;two_person;wheelchair,flexible_window;flexible_day,heart_healthy;minced,wheelchair;assistance_at_door;low_vision
REQ-00003,CLI-0372,2026-04-10 16:50:00,2026-04-13,13:15:00,15:15:00,9,2,2,True,routine,weekly,MOW_frozen,United_Way,completed,,RTE-0093,7,refrigerated_vehicle,,soft,assistance_at_door;low_vision
REQ-00004,CLI-0425,2026-04-09 18:39:00,2026-04-12,08:45:00,11:45:00,11,6,0,False,routine,weekly,culturally_specific,United_Way,scheduled,,RTE-0046,3,no_pet_allergy,flexible_window;flexible_day,vegetarian,cane
REQ-00005,CLI-0171,2026-04-11 13:29:00,2026-04-14,09:30:00,11:30:00,7,2,1,False,routine,weekly,grocery_hamper,Island_Health,no_answer,buzzer_failed,RTE-0012,1,no_pet_allergy,,diabetic_friendly,walker;low_vision
REQ-00006,CLI-0115,2026-04-01 16:46:00,2026-04-04,13:45:00,15:45:00,7,1,0,True,routine,weekly,MOW_hot,municipal,completed,,RTE-0005,22,refrigerated_vehicle;two_person,flexible_window;flexible_day,low_sodium,cane
REQ-00007,CLI-0191,2026-03-31 06:53:00,2026-04-05,13:30:00,16:30:00,11,6,1,False,routine,weekly,grocery_hamper,United_Way,in_progress,,RTE-0078,3,,,minced,
REQ-00008,CLI-0322,2026-04-13 18:12:00,2026-04-14,11:15:00,12:45:00,9,2,1,False,routine,one_time,grocery_hamper,Island_Health,scheduled,,RTE-0027,9,,,low_sodium;soft,cane
REQ-00009,CLI-0325,2026-03-25 17:31:00,2026-03-28,13:45:00,15:15:00,6,3,0,True,routine,weekly,MOW_hot,Island_Health,completed,,RTE-0061,11,no_pet_allergy;refrigerated_vehicle,,diabetic_friendly;lactose_free,
,CLI-0207,2026-03-25 13:01:00,2026-03-26,09:45:00,10:45:00,9,1,0,True,routine,weekly,MOW_hot,Island_Health,scheduled,,RTE-0044,10,refrigerated_vehicle,,diabetic_friendly,cane
REQ-00011,CLI-0405,2026-04-11 15:02:00,2026-04-14,11:45:00,13:15:00,6,5,0,False,routine,one_time,grocery_hamper,private_donations,completed,,RTE-0012,6,,,low_sodium,
REQ-00012,CLI-0473,2026-04-08 13:25:00,2026-04-12,13:15:00,15:15:00,6,2,1,True,routine,monthly,MOW_frozen,private_donations,completed,,RTE-0144,10,refrigerated_vehicle;wheelchair,flexible_day;can_leave_at_door,,wheelchair
REQ-00013,CLI-0066,2026-03-24 14:13:00,2026-03-29,10:00:00,11:30:00,8,2,1,False,routine,one_time,grocery_hamper,Island_Health,completed,,RTE-0009,6,no_pet_allergy,,heart_healthy;halal,walker
REQ-00014,CLI-0159,2026-04-11 12:25:00,2026-04-13,13:15:00,15:15:00,5,4,1,False,routine,monthly,grocery_hamper,client_pay,completed,,RTE-0022,9,,flexible_day,lactose_free,
