route_stop_id,route_id,request_id,client_id,sequence_index,planned_arrival,planned_departure,actual_arrival,actual_departure,wait_time_minutes,service_duration_minutes,distance_from_prev_km,travel_time_from_prev_minutes,status,failure_reason,left_at_door,signature_captured,driver_notes
STP-00001,RTE-0001,REQ-00705,CLI-0282,1,2026-04-05 09:15:00,2026-04-05 09:20:00,2026-04-05 09:15:00,2026-04-05 09:18:00,0,5,0.85,2,completed,,False,True,
STP-00002,RTE-0001,REQ-00410,CLI-0035,2,2026-04-05 09:22:00,2026-04-05 09:31:00,2026-04-05 12:21:00,2026-04-05 12:29:00,0,9,1.18,2,completed,,False,True,
STP-00003,RTE-0001,REQ-01290,CLI-0317,3,2026-04-05 09:35:00,2026-04-05 09:40:00,2026-04-05 12:33:00,2026-04-05 12:36:00,0,5,1.69,4,completed,,False,True,
STP-00004,RTE-0001,REQ-01381,CLI-0216,4,2026-04-05 09:51:00,2026-04-05 10:00:00,2026-04-05 09:48:00,2026-04-05 09:56:00,0,9,4.66,11,no_answer,no_answer_at_door,False,False,
STP-00005,RTE-0001,REQ-01026,CLI-0365,5,2026-04-05 10:13:00,2026-04-05 10:22:00,2026-04-05 12:19:00,2026-04-05 12:24:00,0,9,5.6,13,completed,,False,False,
STP-00006,RTE-0001,REQ-00852,CLI-0116,6,2026-04-05 10:32:00,2026-04-05 10:38:00,2026-04-05 12:34:00,2026-04-05 12:40:00,0,6,4.57,10,completed,,False,True,
STP-00007,RTE-0001,REQ-01785,CLI-0232,7,2026-04-05 10:49:00,2026-04-05 10:57:00,2026-04-05 12:47:00,2026-04-05 12:55:00,0,8,4.78,11,completed,,False,True,
STP-00008,RTE-0001,REQ-01332,CLI-0190,8,2026-04-05 11:06:00,2026-04-05 11:17:00,2026-04-05 13:03:00,2026-04-05 13:12:00,0,11,4.14,9,completed,,False,False,
STP-00009,RTE-0001,REQ-01915,CLI-0014,9,2026-04-05 11:37:00,2026-04-05 11:42:00,2026-04-05 13:32:00,2026-04-05 13:38:00,0,5,8.64,20,completed,,True,False,
STP-00010,RTE-0001,REQ-00654,CLI-0364,10,2026-04-05 11:51:00,2026-04-05 11:56:00,2026-04-05 10:14:00,2026-04-05 10:20:00,0,5,3.99,9,completed,,False,False,
STP-00011,RTE-0001,REQ-00199,CLI-0374,11,2026-04-05 12:10:00,2026-04-05 12:18:00,2026-04-05 10:31:00,2026-04-05 10:35:00,0,8,6.01,14,completed,,False,False,"Called ahead, no answer"
STP-00012,RTE-0001,REQ-00116,CLI-0163,12,2026-04-05 12:27:00,2026-04-05 12:35:00,2026-04-05 14:31:00,2026-04-05 14:37:00,0,8,3.86,9,completed,,False,False,
STP-00013,RTE-0001,REQ-00274,CLI-0290,13,2026-04-05 12:43:00,2026-04-05 12:51:00,2026-04-05 14:47:00,2026-04-05 14:53:00,0,8,3.46,8,completed,,False,True,
STP-00014,RTE-0002,REQ-01478,CLI-0021,1,2026-03-31 08:14:00,2026-03-31 08:23:00,,,0,9,2.28,5,cancelled,client_cancel,False,False,Left meal on counter
STP-00015,RTE-0002,REQ-01193,CLI-0013,2,2026-03-31 08:31:00,2026-03-31 08:37:00,,,0,6,3.54,8,cancelled,client_cancel,False,False,
STP-00016,RTE-0002,REQ-01149,CLI-0460,3,2026-03-31 08:52:00,2026-03-31 09:03:00,,,0,11,6.35,15,cancelled,route_cancelled,False,False,
STP-00017,RTE-0002,REQ-00882,CLI-0412,4,2026-03-31 09:05:00,2026-03-31 09:11:00,,,0,6,0.79,2,cancelled,route_cancelled,False,False,
STP-00018,RTE-0002,REQ-01077,CLI-0443,5,2026-03-31 09:32:00,2026-03-31 09:37:00,,,0,5,8.91,21,cancelled,client_cancel,False,False,
STP-00019,RTE-0002,REQ-01272,CLI-0119,6,2026-03-31 09:42:00,2026-03-31 09:51:00,,,0,9,2.13,5,cancelled,route_cancelled,False,False,
STP-00020,RTE-0002,REQ-00819,CLI-0210,7,2026-03-31 10:07:00,2026-03-31 10:15:00,,,0,8,6.81,16,cancelled,client_cancel,False,False,Note: dog barking but friendly
STP-00021,RTE-0003,REQ-01251,CLI-0377,1,2026-03-31 08:06:00,2026-03-31 08:14:00,2026-03-31 08:26:00,2026-03-31 08:32:00,0,8,0.87,2,completed,,False,True,
