table,field,type,description,example,nullable,is_pk,is_fk,fk_target,notes
depots,depot_id,string,Unique identifier for the depot or kitchen location,DEP-01,false,true,false,,Stable across seasons
depots,name,string,Human-readable name of the depot,Central Commissary,false,false,false,,Display name
depots,address,string,Full street address of the depot,1 Centennial Sq Victoria BC,false,false,false,,Used for routing origin
depots,lat,float,Latitude of depot in WGS84,48.4284,false,false,false,,Geocoded
depots,lng,float,Longitude of depot in WGS84,-123.3656,false,false,false,,Geocoded
depots,capacity_meals_per_day,int,Maximum meals prepared per operating day,800,false,false,false,,Production ceiling
depots,hours_start,string,Depot opening time HH:MM 24h,06:00,false,false,false,,Drives shift windows
depots,hours_end,string,Depot closing time HH:MM 24h,18:00,false,false,false,,Drives shift windows
vehicles,vehicle_id,string,Unique identifier for delivery vehicle,VEH-0009,false,true,false,,Fleet asset key
vehicles,type,enum,Vehicle class,cargo_van,false,false,false,,Values: sedan/cargo_van/truck/suv/bike
vehicles,capacity_meals,int,Maximum meal units carried,300,false,false,false,,Operational capacity
vehicles,capacity_weight_kg,float,Maximum cargo weight in kilograms,900.0,false,false,false,,Safety rating
vehicles,refrigerated,bool,True if cold-chain capable,true,false,false,false,,Required for cold meals
vehicles,wheelchair_lift,bool,True if equipped with wheelchair lift,false,false,false,false,,Rare but critical for some clients
vehicles,availability_start,date,First day vehicle is in service,2026-01-01,true,false,false,,Null for always-on
vehicles,availability_end,date,Last day vehicle is in service,,true,false,false,,Null for open-ended
vehicles,fuel_type,enum,Propulsion category,gasoline,false,false,false,,Values: gasoline/diesel/ev/hybrid/human
drivers,driver_id,string,Unique driver identifier,DRV-0041,false,true,false,,Stable staff identifier
drivers,first_name,string,Driver first name,Amanda,false,false,false,,Case varies in source
drivers,last_name,string,Driver last name,Okoye,false,false,false,,Case varies in source
drivers,role_type,enum,Employment category,staff,false,false,false,,Values: staff/volunteer/contractor
drivers,phone,string,Driver contact phone,(250) 555-0199,true,false,false,,Multiple formats present
drivers,email,string,Driver contact email,amanda.o@example.org,true,false,false,,Volunteers may lack email
