table,field,type,description,example,nullable,is_pk,is_fk,fk_target,notes
organizations,org_id,string,Stable unique identifier for the provider organization,ORG-0042,false,true,false,,HIFIS-style service provider key
organizations,org_name,string,Human-readable organization name as registered,Our Place Society,false,false,false,,May have legal vs display name variants
organizations,org_type,enum,Category of service provider from AIRS taxonomy,shelter,false,false,false,,Values: shelter/outreach/housing/health/food/employment/income
organizations,cluster_id,string,HIFIS cluster grouping organizations under shared governance,CLUSTER-VAN-01,true,false,false,,Used for regional reporting roll-ups
organizations,address_street,string,Primary service delivery street address,919 Pandora Ave,true,false,false,,Not always the mailing address
organizations,address_city,string,City of primary service location,Victoria,false,false,false,,BC municipality
organizations,address_province,string,Two-letter province code,BC,false,false,false,,ISO 3166-2:CA
organizations,address_postal,string,Canadian postal code with or without space,V8W 1P4,true,false,false,,Format varies in source systems
organizations,service_taxonomy_code,string,AIRS/211 service taxonomy code for primary offering,BH-1800.8500,false,false,false,,Maps to service_encounters code
organizations,target_population,string,Primary population served in free text,Adults experiencing homelessness,true,false,false,,Narrative field for context
organizations,genders_served,string,Comma-separated list of genders served,"all",true,false,false,,Values: all/men/women/non-binary/trans
organizations,age_min,int,Minimum age eligible for service,19,true,false,false,,Null when no restriction
organizations,age_max,int,Maximum age eligible for service,64,true,false,false,,Null when no restriction
organizations,capacity_total_slots,int,Total service capacity expressed as slots or beds,42,true,false,false,,Applies to shelters and program slots
organizations,capacity_occupied_slots,int,Currently occupied slots at last update,38,true,false,false,,Drives waitlist_flag derivation
organizations,waitlist_flag,bool,True when organization currently has active waitlist,true,false,false,false,,Derived when occupied >= total
organizations,waitlist_size,int,Count of clients currently on waitlist,12,true,false,false,,Self-reported by org
organizations,waitlist_average_days,float,Average wait days for admission in last 30 days,21.5,true,false,false,,Operational metric
organizations,last_capacity_update,date,Timestamp of most recent capacity refresh,2026-04-15,true,false,false,,Staleness matters for CA routing
clients,client_id,string,Unique client identifier within source HIFIS instance,CL-00010234,false,true,false,,Not globally unique across clusters
clients,primary_org_id,string,Organization holding primary case relationship,ORG-0042,true,false,true,organizations.org_id,Nullable when no lead agency
clients,first_name,string,Given name as recorded at intake,Sarah,false,false,false,,Case and spelling vary across orgs
clients,last_name,string,Surname as recorded at intake,Thompson,false,false,false,,Hyphenated names common
clients,middle_name,string,Middle name or initial if provided,Marie,true,false,false,,Rarely collected consistently
clients,aliases,string,Semi-colon separated list of known aliases,Sara Thomson;S. Thompson,true,false,false,,Key signal for duplicate detection
clients,dob,date,Date of birth,1984-07-12,true,false,false,,Sometimes day or month unknown
clients,age,int,Age in years at last contact,41,true,false,false,,Derived but sometimes stored directly
clients,gender,enum,Self-reported gender identity,woman,true,false,false,,Values: man/woman/non-binary/trans/other/unknown
clients,indigenous_identity,enum,Self-reported Indigenous identity per OCAP,first_nations,true,false,false,,Values: first_nations/metis/inuit/none/declined
clients,citizenship_status,enum,Citizenship category from HIFIS,canadian_citizen,true,false,false,,Values: citizen/pr/refugee/claimant/other/unknown
clients,veteran_status,bool,True when client identifies as veteran,false,true,false,false,,Important for federal program eligibility
clients,primary_language,string,Preferred language of communication,English,true,false,false,,ISO 639 or plain string
clients,current_sleeping_location,enum,Where client slept last night per HIFIS standard,shelter,true,false,false,,Values: shelter/unsheltered/couch/supportive/institution/housed
clients,housing_status,enum,Current housing classification,absolute_homeless,true,false,false,,Canadian Homelessness Definition
clients,first_homeless_date,date,Earliest known date of homelessness episode,2019-11-03,true,false,false,,Used for chronic calculation
clients,current_episode_start_date,date,Start of current homelessness episode,2024-08-15,true,false,false,,Resets after 30 days housed
clients,days_homeless_past_3_years,int,Cumulative homeless days in last 1095 days,612,true,false,false,,Chronic threshold is 180 days
clients,chronic_homeless_flag,bool,True when client meets federal chronic definition,true,false,false,false,,Derived from days_homeless
clients,mental_health_flag,bool,Self-reported or assessed mental health condition,true,true,false,false,,PIPA-sensitive attribute
clients,substance_use_flag,bool,Self-reported or assessed substance use concern,true,true,false,false,,PIPA-sensitive attribute
clients,physical_health_flag,bool,Self-reported chronic physical health condition,false,true,false,false,,PIPA-sensitive attribute
clients,developmental_flag,bool,Self-reported developmental disability,false,true,false,false,,PIPA-sensitive attribute
clients,bnl_active_flag,bool,True when client is on By-Name List,true,false,false,false,,Core BNL membership indicator
clients,bnl_status,enum,Current BNL status category,active,true,false,false,,Values: active/inactive/housed/deceased/moved
clients,ca_enrolled_flag,bool,True when enrolled in Coordinated Access,true,false,false,false,,Drives routing to matching
clients,ca_priority_level,int,Coordinated Access priority score 1-10,8,true,false,false,,Higher value means higher priority
clients,assessment_tool,enum,Triage assessment tool used,vi_spdat,true,false,false,,Values: vi_spdat/spdat/custom/none
clients,assessment_date,date,Date of most recent assessment,2026-02-01,true,false,false,,Stale after 6 months
clients,assessment_total_score,int,Total score from assessment tool,14,true,false,false,,VI-SPDAT scale 0-20
clients,assessment_acuity_level,enum,Derived acuity bucket,high,true,false,false,,Values: low/moderate/high
clients,last_contact_date,date,Most recent recorded service contact,2026-04-10,true,false,false,,Inactivity triggers BNL review
clients,ocap_protected,bool,Record subject to OCAP governance,true,false,false,false,,Restricts sharing without Nation consent
clients,ocap_governing_nation,string,Nation or organization holding OCAP authority,Esquimalt Nation,true,false,false,,Populated when ocap_protected true
clients,ocap_data_use_conditions,string,Free text describing allowed uses,Research only with Council approval,true,false,false,,Narrative OCAP terms
clients,consent_coverage_level,enum,Highest-level active consent currently held,explicit,true,false,false,,Values: none/implied/explicit/revoked
